codigo_ibge,municipio,uf,dia,mes,data_referencia,criterio,confianca,campo_origem,frase_origem,fonte_historico,status_consulta
5207402,Edéia,GO,8,10,08/10/1948,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Edéia, pela Lei Estadual n.º 155, de 08-10-1948, desmembrado Palmeiras de Goiás (ex-Mataúna).",Edéia (GO). Prefeitura. 2017. Disponível em: http://testenovoportal.cnm.org.br/303/DadosMunicipais/. Acesso em: mar. 2017.,ok
5207501,Estrela do Norte,GO,14,11,14/11/1958,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Estrela do Norte, pela Lei Estadual n.º 2.127, de 14-11-1958, desmembrado de Porangatu.",ESTRELA DO NORTE (GO). Prefeitura. Disponível em: https://www.estrela.go.gov.br/historia. Acesso em: 17 set. 2025.,ok
5207535,Faina,GO,9,1,09/01/1988,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Faina, pela Lei Estadual n.º 10.434, de 09-01-1988, desmembrado de Goiás.",Faina (GO). Prefeitura. 2017. Disponível em: http://www.faina.go.gov.br/pagina/149-historia. Acesso em: mar. 2017.,ok
5207600,Fazenda Nova,GO,20,10,20/10/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação de Fazenda Nova, pela Lei Estadual n.º 831, de 20-10-1953, desmembrado de Goiás.",Fazenda Nova (GO). Prefeitura. 2017. Disponível em: http://fazendanova.go.gov.br/index.php?pg=Municipio. Acesso em: mar. 2017.,ok
5207808,Firminópolis,GO,7,10,07/10/1948,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Firminópolis, pela Lei Estadual n.º 174, de 07-10-1948, desmembrado de Paraúna.",Firminópolis (GO). Prefeitura. 2017. Disponível em: http://firminopolis.go.gov.br/. Acesso em: mar. 2017.,ok
5207907,Flores de Goiás,GO,14,11,14/11/1963,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Flores de Goiás, pela Lei Estadual n.º 4.926, de 14-11-1963, desmembrado de Sítio d’Abadia.",Flores de Goiás (GO). Câmara Municipal. 2017. Disponível em: http://cmfg.go.gov.br/historia.php. Acesso em: mar. 2017.,ok
5208004,Formosa,GO,1,8,01/08/1843,elevacao_vila,alta,formacao_administrativa,"Elevado à categoria de vila com a denominação de Vila Formosa da Imperatriz pela Lei Provincial n.º 1, de 01-08-1843, sendo desmembrado do município de Santa Luzia.",Formosa (GO). Prefeitura. 2015. Disponível em: http://formosa.go.gov.br/portal/formosa . Acesso em: jan. 2015.,ok
5208103,Formoso,GO,25,9,25/09/1963,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Formoso, pela Lei Estadual n.º 4.586, de 25-09-1963, desmembrado de Mara Rosa (ex-Amaro Leite).",Formoso (GO). Prefeitura. 2017. Disponível em: http://www.formoso.go.gov.br/site/pagina/index/pagina/1. Acesso em: mar. 2017.,ok
5208152,Gameleira de Goiás,GO,28,12,28/12/1998,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Gameleira de Goiás, pela Lei Estadual n.º 13.417, de 28-12-1998, desmembrado de Silvânia.",Gameleira de Goiás (GO). Prefeitura. 2015. Disponível em: http://gameleiradegoias.go.gov.br/?page_id=122. Acesso em: jun. 2015.,ok
5208301,Divinópolis de Goiás,GO,14,11,14/11/1958,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Galheiros, pela Lei Estadual n.º 2.123, de 14-11-1958, desmembrado de São Domingos.",Divinópolis de Goiás (GO). Prefeitura. 2017. Disponível em: http://www.divinopolis.go.gov.br/index.php/prefeitura. Acesso em: mar. 2017.,ok
5208400,Goianápolis,GO,14,11,14/11/1958,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Goianápolis, pela Lei Estadual n.º 2.142, de 14-11-1958, desmembrado de Anápolis.",Goianápolis (GO). Prefeitura. 2009.,ok
